traceID,order,structtype,method1,method2,m1_para,m2_para,className1,className2,m1_return,m2_return
0,0,null,org.b3log.solo.filter.PermalinkFilter.doFilter,org.b3log.solo.service.PermalinkQueryService.invalidPermalinkFormat,"javax.servlet.ServletRequest,javax.servlet.ServletResponse,javax.servlet.FilterChain",java.lang.String,org.b3log.solo.filter.PermalinkFilter,org.b3log.solo.service.PermalinkQueryService,void,boolean
0,1,null,org.b3log.solo.service.PermalinkQueryService.invalidPermalinkFormat,org.b3log.solo.service.PermalinkQueryService.invalidArticlePermalinkFormat,java.lang.String,java.lang.String,org.b3log.solo.service.PermalinkQueryService,org.b3log.solo.service.PermalinkQueryService,boolean,boolean
0,2,null,org.b3log.solo.service.PermalinkQueryService.invalidArticlePermalinkFormat,org.b3log.solo.service.PermalinkQueryService.matchDefaultArticlePermalinkFormat,java.lang.String,java.lang.String,org.b3log.solo.service.PermalinkQueryService,org.b3log.solo.service.PermalinkQueryService,boolean,boolean
0,3,null,org.b3log.solo.filter.PermalinkFilter.doFilter,org.b3log.solo.repository.impl.ArticleRepositoryImpl.getByPermalink,"javax.servlet.ServletRequest,javax.servlet.ServletResponse,javax.servlet.FilterChain",java.lang.String,org.b3log.solo.filter.PermalinkFilter,org.b3log.solo.repository.impl.ArticleRepositoryImpl,void,org.json.JSONObject
0,4,null,org.b3log.solo.repository.impl.ArticleRepositoryImpl.getByPermalink,org.b3log.solo.repository.impl.ArticleRepositoryImpl.getByPermalink,java.lang.String,java.lang.String,org.b3log.solo.repository.impl.ArticleRepositoryImpl,org.b3log.solo.repository.impl.ArticleRepositoryImpl,org.json.JSONObject,org.json.JSONObject
0,5,null,org.b3log.solo.repository.impl.ArticleRepositoryImpl.getByPermalink,org.b3log.solo.repository.impl.ArticleRepositoryImpl.getByPermalink,java.lang.String,java.lang.String,org.b3log.solo.repository.impl.ArticleRepositoryImpl,org.b3log.solo.repository.impl.ArticleRepositoryImpl,org.json.JSONObject,org.json.JSONObject
0,6,null,org.b3log.solo.repository.impl.ArticleRepositoryImpl.getByPermalink,org.b3log.solo.cache.ArticleCache.getArticleByPermalink,java.lang.String,java.lang.String,org.b3log.solo.repository.impl.ArticleRepositoryImpl,org.b3log.solo.cache.ArticleCache,org.json.JSONObject,org.json.JSONObject
0,7,null,org.b3log.solo.cache.ArticleCache.getArticleByPermalink,org.b3log.solo.cache.ArticleCache.getArticleByPermalink,java.lang.String,java.lang.String,org.b3log.solo.cache.ArticleCache,org.b3log.solo.cache.ArticleCache,org.json.JSONObject,org.json.JSONObject
0,8,null,org.b3log.solo.cache.ArticleCache.getArticleByPermalink,org.b3log.solo.cache.ArticleCache.getArticleByPermalink,java.lang.String,java.lang.String,org.b3log.solo.cache.ArticleCache,org.b3log.solo.cache.ArticleCache,org.json.JSONObject,org.json.JSONObject
0,9,null,org.b3log.solo.repository.impl.ArticleRepositoryImpl.getByPermalink,org.b3log.solo.repository.impl.ArticleRepositoryImpl.get,java.lang.String,org.b3log.latke.repository.Query,org.b3log.solo.repository.impl.ArticleRepositoryImpl,org.b3log.solo.repository.impl.ArticleRepositoryImpl,org.json.JSONObject,org.json.JSONObject
0,10,null,org.b3log.solo.repository.impl.ArticleRepositoryImpl.get,org.b3log.solo.repository.impl.ArticleRepositoryImpl.get,org.b3log.latke.repository.Query,org.b3log.latke.repository.Query,org.b3log.solo.repository.impl.ArticleRepositoryImpl,org.b3log.solo.repository.impl.ArticleRepositoryImpl,org.json.JSONObject,org.json.JSONObject
0,11,null,org.b3log.solo.repository.impl.ArticleRepositoryImpl.getByPermalink,org.b3log.solo.cache.ArticleCache.putArticle,java.lang.String,org.json.JSONObject,org.b3log.solo.repository.impl.ArticleRepositoryImpl,org.b3log.solo.cache.ArticleCache,org.json.JSONObject,void
0,12,null,org.b3log.solo.cache.ArticleCache.putArticle,org.b3log.solo.cache.ArticleCache.putArticle,org.json.JSONObject,org.json.JSONObject,org.b3log.solo.cache.ArticleCache,org.b3log.solo.cache.ArticleCache,void,void
0,13,null,org.b3log.solo.cache.ArticleCache.putArticle,org.b3log.solo.cache.ArticleCache.putArticle,org.json.JSONObject,org.json.JSONObject,org.b3log.solo.cache.ArticleCache,org.b3log.solo.cache.ArticleCache,void,void
0,14,null,org.b3log.solo.cache.ArticleCache.putArticle,org.b3log.solo.util.JSONs.clone,org.json.JSONObject,org.json.JSONObject,org.b3log.solo.cache.ArticleCache,org.b3log.solo.util.JSONs,void,org.json.JSONObject
0,15,null,org.b3log.solo.cache.ArticleCache.putArticle,org.b3log.solo.util.JSONs.clone,org.json.JSONObject,org.json.JSONObject,org.b3log.solo.cache.ArticleCache,org.b3log.solo.util.JSONs,void,org.json.JSONObject
0,16,null,org.b3log.solo.filter.PermalinkFilter.doFilter,org.b3log.solo.service.ArticleQueryService.needViewPwd,"javax.servlet.ServletRequest,javax.servlet.ServletResponse,javax.servlet.FilterChain","javax.servlet.http.HttpServletRequest,org.json.JSONObject",org.b3log.solo.filter.PermalinkFilter,org.b3log.solo.service.ArticleQueryService,void,boolean
0,17,null,org.b3log.solo.service.ArticleQueryService.needViewPwd,org.b3log.solo.service.ArticleQueryService.needViewPwd,"javax.servlet.http.HttpServletRequest,org.json.JSONObject","javax.servlet.http.HttpServletRequest,org.json.JSONObject",org.b3log.solo.service.ArticleQueryService,org.b3log.solo.service.ArticleQueryService,boolean,boolean
0,18,null,org.b3log.solo.service.ArticleQueryService.needViewPwd,org.b3log.solo.service.ArticleQueryService.needViewPwd,"javax.servlet.http.HttpServletRequest,org.json.JSONObject","javax.servlet.http.HttpServletRequest,org.json.JSONObject",org.b3log.solo.service.ArticleQueryService,org.b3log.solo.service.ArticleQueryService,boolean,boolean
